"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000186472.20","ENSG00000186472.20","PCLO","protein_coding",-0.283656351755523,3.92504895644891,-2.21749970866577,0.0267716965953792,0.0418690895187854,-4.83016562697496
"ENSG00000152953.13","ENSG00000152953.13","STK32B","protein_coding",-0.39689602484598,2.892131953311,-2.14137680147124,0.0324402471426349,0.0498710020672091,-4.83020480299887
"ENSG00000175820.4","ENSG00000175820.4","CCDC168","protein_coding",0.257676216257134,-3.02856606978123,1.8256903544912,0.0681399727348766,0.097698207348772,-4.83045861350905
"ENSG00000288611.1","ENSG00000288611.1","NPBWR1","protein_coding",0.363075897090961,-4.45143293469086,1.78163175149214,0.0750566786059731,0.106595091674041,-4.8307149291318
"ENSG00000197406.7","ENSG00000197406.7","DIO3","protein_coding",-0.408736977833748,-1.00619692807094,-1.90569960826057,0.056922799905742,0.0830306516650047,-4.83130534913364
"ENSG00000188848.16","ENSG00000188848.16","BEND4","protein_coding",-0.370223762592129,-3.59344691115397,-1.82293886613502,0.0685559953600552,0.0982536193363222,-4.83198971097626
"ENSG00000112357.14","ENSG00000112357.14","PEX7","protein_coding",0.150206796573377,3.79722952208822,2.17972951049576,0.0294671932750731,0.0456954250451252,-4.83260365806719
"ENSG00000111732.11","ENSG00000111732.11","AICDA","protein_coding",-0.32770928568542,-4.3891473522199,-1.79817371344486,0.0723953154799273,0.103175862767695,-4.83279336593505
"ENSG00000144647.6","ENSG00000144647.6","POMGNT2","protein_coding",0.124809521743488,4.72748746004909,2.24525116011319,0.0249295792098652,0.039218036208628,-4.83358355569992
"ENSG00000203867.8","ENSG00000203867.8","RBM20","protein_coding",-0.359107743218802,0.814912576583049,-1.98509044521188,0.0473568633671909,0.0702840888304897,-4.83587065113626
"ENSG00000131473.17","ENSG00000131473.17","ACLY","protein_coding",0.146774678000728,7.66993501092772,2.2941680840767,0.0219492089272757,0.0348992217555855,-4.83672906646881
"ENSG00000115468.12","ENSG00000115468.12","EFHD1","protein_coding",0.328427025874655,7.76332245268941,2.29445705166879,0.0219325678406641,0.034876010046502,-4.83694281485849
"ENSG00000136997.21","ENSG00000136997.21","MYC","protein_coding",-0.28389397560378,6.2144767080108,-2.29576300026844,0.0218574977791844,0.0347663506827735,-4.83796598029757
